name_of_cate,original_url
གདོང་ཤོག,http://www.tbwriters.com/
སྙན་ངག,https://www.tbwriters.com/?cat=4
ཟིན་བྲིས།,https://www.tbwriters.com/?cat=3
དཔྱད་རྩོམ།,https://www.tbwriters.com/?cat=2
ལྷུག་རྩོམ།,https://www.tbwriters.com/?cat=6
བསྒྱུར་རྩོམ།,https://www.tbwriters.com/?cat=5
སྒྲུང་རྩོམ།,https://www.tbwriters.com/?cat=7
ལོ་རྒྱུས།,https://www.tbwriters.com/?cat=8
འབོལ་རྩོམ།,https://www.tbwriters.com/?cat=9
བརྡ་ཁྱབ།,https://www.tbwriters.com/?cat=10
ངེད་ཀྱི་སྐོར།,https://www.tbwriters.com/?cat=1
